PP_3251_2,PP_3265_1,PP_3265_2,PP_3265_3,PP_6014_1,PP_6014_2,PP_6015_1,PP_6036_1,PP_6036_2,PP_6038_1,PP_6038_2,PP_6127_1
873.2462706,767.1053808,767.1053808,767.1053808,993.6091546,993.6091546,1080.366743,1191.078267,1191.078267,1053.097869,1053.097869,888.527056
871.8275115,767.209381,767.209381,767.209381,991.9948425,991.9948425,1078.611476,1191.239748,1191.239748,1053.240643,1053.240643,888.6475179
872.536891,767.209381,767.209381,767.209381,992.8019985,992.8019985,1079.48911,1191.239748,1191.239748,1053.240643,1053.240643,888.6475179
871.3545917,767.5213815,767.5213815,767.5213815,991.4567384,991.4567384,1078.026387,1191.724188,1191.724188,1053.668964,1053.668964,889.0089036
871.5910515,767.4173813,767.4173813,767.4173813,991.7257904,991.7257904,1078.318932,1191.562708,1191.562708,1053.52619,1053.52619,888.8884417
873.0098107,767.3133811,767.3133811,767.3133811,993.3401026,993.3401026,1080.074199,1191.401228,1191.401228,1053.383417,1053.383417,888.7679798
871.8275115,767.3133811,767.3133811,767.3133811,991.9948425,991.9948425,1078.611476,1191.401228,1191.401228,1053.383417,1053.383417,888.7679798
871.5910515,766.2733793,766.2733793,766.2733793,991.7257904,991.7257904,1078.318932,1189.786425,1189.786425,1051.955681,1051.955681,887.5633607
871.5910515,765.9613787,765.9613787,765.9613787,991.7257904,991.7257904,1078.318932,1189.301984,1189.301984,1051.52736,1051.52736,887.2019749
871.3545917,766.3773795,766.3773795,766.3773795,991.4567384,991.4567384,1078.026387,1189.947905,1189.947905,1052.098454,1052.098454,887.6838226
872.0639713,766.5853798,766.5853798,766.5853798,992.2638945,992.2638945,1078.904021,1190.270865,1190.270865,1052.384002,1052.384002,887.9247464
872.0639713,766.0653789,766.0653789,766.0653789,992.2638945,992.2638945,1078.904021,1189.463464,1189.463464,1051.670134,1051.670134,887.3224368
871.8275115,766.5853798,766.5853798,766.5853798,991.9948425,991.9948425,1078.611476,1190.270865,1190.270865,1052.384002,1052.384002,887.9247464
871.3545917,766.2733793,766.2733793,766.2733793,991.4567384,991.4567384,1078.026387,1189.786425,1189.786425,1051.955681,1051.955681,887.5633607
870.881672,765.8573785,765.8573785,765.8573785,990.9186343,990.9186343,1077.441298,1189.140504,1189.140504,1051.384587,1051.384587,887.081513
870.881672,766.3773795,766.3773795,766.3773795,990.9186343,990.9186343,1077.441298,1189.947905,1189.947905,1052.098454,1052.098454,887.6838226
870.1722924,766.0653789,766.0653789,766.0653789,990.1114782,990.1114782,1076.563665,1189.463464,1189.463464,1051.670134,1051.670134,887.3224368
869.4629128,765.8573785,765.8573785,765.8573785,989.3043221,989.3043221,1075.686032,1189.140504,1189.140504,1051.384587,1051.384587,887.081513
869.9358326,766.0653789,766.0653789,766.0653789,989.8424262,989.8424262,1076.27112,1189.463464,1189.463464,1051.670134,1051.670134,887.3224368
870.1722924,765.8573785,765.8573785,765.8573785,990.1114782,990.1114782,1076.563665,1189.140504,1189.140504,1051.384587,1051.384587,887.081513
868.5170734,765.8573785,765.8573785,765.8573785,988.228114,988.228114,1074.515854,1189.140504,1189.140504,1051.384587,1051.384587,887.081513
870.4087523,765.6493782,765.6493782,765.6493782,990.3805303,990.3805303,1076.856209,1188.817544,1188.817544,1051.099039,1051.099039,886.8405892
870.4087523,766.68938,766.68938,766.68938,990.3805303,990.3805303,1076.856209,1190.432346,1190.432346,1052.526775,1052.526775,888.0452083
868.5170734,765.6493782,765.6493782,765.6493782,988.228114,988.228114,1074.515854,1188.817544,1188.817544,1051.099039,1051.099039,886.8405892
870.1722924,766.4813796,766.4813796,766.4813796,990.1114782,990.1114782,1076.563665,1190.109385,1190.109385,1052.241228,1052.241228,887.8042845
870.881672,766.0653789,766.0653789,766.0653789,990.9186343,990.9186343,1077.441298,1189.463464,1189.463464,1051.670134,1051.670134,887.3224368
870.1722924,766.2733793,766.2733793,766.2733793,990.1114782,990.1114782,1076.563665,1189.786425,1189.786425,1051.955681,1051.955681,887.5633607
870.4087523,766.2733793,766.2733793,766.2733793,990.3805303,990.3805303,1076.856209,1189.786425,1189.786425,1051.955681,1051.955681,887.5633607
870.1722924,766.4813796,766.4813796,766.4813796,990.1114782,990.1114782,1076.563665,1190.109385,1190.109385,1052.241228,1052.241228,887.8042845
871.1181318,766.4813796,766.4813796,766.4813796,991.1876864,991.1876864,1077.733843,1190.109385,1190.109385,1052.241228,1052.241228,887.8042845
