name,node_bat,bat_cap,bat_RoC,bat_RoD,bat_eff
Sto_CPLE_4h,20562,355.6338028,88.9084507,88.9084507,0.9
Sto_CPLE_6h,6654,355.6338028,59.27230047,59.27230047,0.9
Sto_CPLE_8h,20896,355.6338028,44.45422535,44.45422535,0.9
Sto_CPLW_4h,10019,355.6338028,88.9084507,88.9084507,0.9
Sto_CPLW_6h,28601,355.6338028,59.27230047,59.27230047,0.9
Sto_CPLW_8h,6024,355.6338028,44.45422535,44.45422535,0.9
Sto_DUK_4h,30882,711.2676056,177.8169014,177.8169014,0.9
Sto_DUK_6h,14722,711.2676056,118.5446009,118.5446009,0.9
Sto_DUK_8h,14001,711.2676056,88.9084507,88.9084507,0.9
Sto_solar_CPLE_4h,7557,199.1549296,49.78873239,49.78873239,0.9
Sto_solar_CPLE_6h,7062,199.1549296,33.19248826,33.19248826,0.9
Sto_solar_CPLE_8h,28990,199.1549296,24.8943662,24.8943662,0.9
Sto_solar_CPLW_4h,11731,199.1549296,49.78873239,49.78873239,0.9
Sto_solar_CPLW_6h,11731,199.1549296,33.19248826,33.19248826,0.9
Sto_solar_CPLW_8h,11731,199.1549296,24.8943662,24.8943662,0.9
Sto_solar_DUK_4h,6684,199.1549296,49.78873239,49.78873239,0.9
Sto_solar_DUK_6h,7049,199.1549296,33.19248826,33.19248826,0.9
Sto_solar_DUK_8h,15775,199.1549296,24.8943662,24.8943662,0.9
